congestion_control, loss_rate, goodput_Mbps, rtt_ms, bandwidth_Mbps, specified_bw_Mbps
cubic, 0.4, 0.04, 100, 0.1, 0.1
cubic, 0.4, 0.02, 100, 1.0, 1.0
cubic, 0.4, 0.1, 100, 10.03, 10.0
cubic, 0.4, 0.09, 100, 100.27, 100.0
cubic, 0.5, 0.0, 100, 0.01, 0.01
cubic, 0.5, 0.02, 100, 0.1, 0.1
cubic, 0.5, 0.07, 100, 1.0, 1.0
cubic, 0.5, 0.03, 100, 10.03, 10.0
cubic, 0.5, 0.04, 100, 100.27, 100.0
bbr, 1e-05, 0.01, 100, 0.01, 0.01
bbr, 1e-05, 0.1, 100, 0.1, 0.1
bbr, 1e-05, 0.98, 100, 1.0, 1.0
bbr, 1e-05, 9.71, 100, 10.03, 10.0
bbr, 1e-05, 94.84, 100, 100.27, 100.0
bbr, 0.0001, 0.01, 100, 0.01, 0.01
bbr, 0.0001, 0.1, 100, 0.1, 0.1
bbr, 0.0001, 0.98, 100, 1.0, 1.0
bbr, 0.0001, 9.71, 100, 10.03, 10.0
bbr, 0.0001, 94.21, 100, 100.27, 100.0
bbr, 0.001, 0.01, 100, 0.01, 0.01
bbr, 0.001, 0.1, 100, 0.1, 0.1
bbr, 0.001, 0.98, 100, 1.0, 1.0
bbr, 0.001, 9.71, 100, 10.03, 10.0
bbr, 0.001, 94.65, 100, 100.27, 100.0
bbr, 0.01, 0.01, 100, 0.01, 0.01
bbr, 0.01, 0.1, 100, 0.1, 0.1
bbr, 0.01, 0.98, 100, 1.0, 1.0
bbr, 0.01, 9.65, 100, 10.03, 10.0
bbr, 0.01, 94.08, 100, 100.27, 100.0
bbr, 0.02, 0.01, 100, 0.01, 0.01
bbr, 0.02, 0.1, 100, 0.1, 0.1
bbr, 0.02, 0.98, 100, 1.0, 1.0
bbr, 0.02, 9.7, 100, 10.03, 10.0
bbr, 0.02, 93.85, 100, 100.27, 100.0
bbr, 0.05, 0.01, 100, 0.01, 0.01
bbr, 0.05, 0.1, 100, 0.1, 0.1
bbr, 0.05, 0.98, 100, 1.0, 1.0
bbr, 0.05, 9.71, 100, 10.03, 10.0
bbr, 0.05, 92.92, 100, 100.27, 100.0
bbr, 0.1, 0.01, 100, 0.01, 0.01
bbr, 0.1, 0.1, 100, 0.1, 0.1
bbr, 0.1, 0.98, 100, 1.0, 1.0
bbr, 0.1, 9.67, 100, 10.03, 10.0
bbr, 0.1, 93.48, 100, 100.27, 100.0
bbr, 0.15, 0.01, 100, 0.01, 0.01
bbr, 0.15, 0.09, 100, 0.1, 0.1
bbr, 0.15, 0.98, 100, 1.0, 1.0
bbr, 0.15, 9.63, 100, 10.03, 10.0
bbr, 0.15, 92.93, 100, 100.27, 100.0
bbr, 0.2, 0.01, 100, 0.01, 0.01
bbr, 0.2, 0.1, 100, 0.1, 0.1
bbr, 0.2, 0.85, 100, 1.0, 1.0
bbr, 0.2, 9.63, 100, 10.03, 10.0
bbr, 0.2, 89.55, 100, 100.27, 100.0
bbr, 0.25, 0.01, 100, 0.01, 0.01
bbr, 0.25, 0.1, 100, 0.1, 0.1
bbr, 0.25, 0.98, 100, 1.0, 1.0
bbr, 0.25, 9.62, 100, 10.03, 10.0
bbr, 0.25, 89.73, 100, 100.27, 100.0
bbr, 0.3, 0.01, 100, 0.01, 0.01
bbr, 0.3, 0.1, 100, 0.1, 0.1
bbr, 0.3, 0.98, 100, 1.0, 1.0
bbr, 0.3, 9.6, 100, 10.03, 10.0
bbr, 0.3, 91.47, 100, 100.27, 100.0
bbr, 0.4, 0.01, 100, 0.01, 0.01
bbr, 0.4, 0.1, 100, 0.1, 0.1
bbr, 0.4, 0.98, 100, 1.0, 1.0
bbr, 0.4, 9.53, 100, 10.03, 10.0
bbr, 0.4, 86.57, 100, 100.27, 100.0
bbr, 0.5, 0.0, 100, 0.01, 0.01
bbr, 0.5, 0.1, 100, 0.1, 0.1
bbr, 0.5, 0.59, 100, 1.0, 1.0
bbr, 0.5, 5.53, 100, 10.03, 10.0
bbr, 0.5, 3.4, 100, 100.27, 100.0
